Number, Label, Comment, X, Y, Z, X_Toe, Y_Toe, Z_Toe, Diameter, Length, Subdrilling, Stemming, Burden, Spacing, Angle, Azimuth, WaterLevel, DetonatingTime, GlobalId, DesignCharge, InputedCharge, Row_Number, Detonators, Boosters, PathLetter
90, , , 748844.770, 8930543.320, 220.480, 748844.770, 8930543.320, 209.980, 0.102, 10.500, 0.000, 4.400, 0.000, 0.000, 0.0, 0.0, 0.000, 4127, 4f199f4e-84d1-4b9a-8c2b-b561cc359d6b, 0.0, 60.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, A
91, , , 748843.260, 8930545.310, 220.480, 748843.260, 8930545.310, 209.980, 0.102, 10.500, 0.000, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 4120, 13f2bb91-d5a8-44c6-bb0d-8bbe120155ad, 0.0, 49.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
92, , , 748841.760, 8930547.310, 220.480, 748841.760, 8930547.310, 210.980, 0.102, 9.500, 0.000, 4.400, 0.000, 0.000, 0.0, 0.0, 0.000, 4109, f71349ec-1603-403f-98d6-2e2a160834fb, 0.0, 55.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
93, , , 748840.250, 8930549.310, 220.480, 748840.250, 8930549.310, 211.480, 0.102, 9.000, 0.000, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 4113, 475a9c79-e14a-4792-a314-aff0163f7490, 0.0, 59.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
94, , , 748838.750, 8930551.300, 220.480, 748838.750, 8930551.300, 211.480, 0.102, 9.000, 0.000, 4.600, 0.000, 0.000, 0.0, 0.0, 0.000, 4098, fc10928e-09de-4283-9096-15e35b307585, 0.0, 26.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
95, , , 748837.270, 8930553.320, 220.480, 748837.270, 8930553.320, 210.480, 0.102, 10.000, 0.000, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 4093, 75ab5ec2-6f30-42b0-a199-eac3180fef32, 0.0, 46.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
96, , , 748835.910, 8930555.420, 221.100, 748835.910, 8930555.420, 213.100, 0.102, 8.000, 0.000, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 4084, 1db44c8d-5cab-4bad-83d4-7984ab1cae03, 0.0, 23.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
98, , , 748833.210, 8930559.620, 221.270, 748833.210, 8930559.620, 210.270, 0.102, 11.000, 0.000, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 4052, 2fb19f03-614e-420c-b77d-d34184f542b7, 0.0, 81.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
99, , , 748831.850, 8930561.720, 221.280, 748831.850, 8930561.720, 209.480, 0.102, 11.800, 0.000, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 4044, c5229397-156c-4172-9231-74aab5b1923d, 0.0, 110.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
100, , , 748830.500, 8930563.830, 221.170, 748830.500, 8930563.830, 213.170, 0.102, 8.000, 0.000, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 4035, b1674d6b-ba9c-4a4b-b5db-8333fb14acbd, 0.0, 26.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
