Number, Label1, Label2, UserName, UserLogin, UTM_X, UTM_X_Real, UTM_Y, UTM_Y_Real, Length_m, Length_Real_m, Stemming_m, Stemming_Real_m, Diameter_mm, Diameter_Real_mm, Subdrilling_m, Subdrilling_Real_m, Angle_deg, Angle_Real_deg, Azimuth_deg, Azimuth_Real_deg, Total_Charge_kg, Total_Charge_Real_kg, Charge_Bulk_kg, Charge_Bulk_Real_kg, Charge_Cartridge_kg, Charge_Cartridge_Real_kg, Booster_un, Booster_Real_un, Charge_Description, waterPresence, waterColumn_m, waterColumn_Real_m, eliminated, changed, dateUpdate, Burden_m, Spacing_m, Powder_Factor, Powder_Factor_Real, Redrill, Comment, final_length_m, truck_number, number_primes_qty, number_detonators_qty, temperature_deg, density
89, , , thiago.ferreira@enaex.com, thiago.ferreira@enaex.com, 748846.270, 748846.270, 8930541.320, 8930541.320, 10.480, 10.480, 3.500, 3.500, 102, 102, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 59.887, 59.887, 59.887, 59.887, 0.000, 0.000, 1.000, 0.000, Emulsão 1.05 = 59.9, 0, 0.000, 0.000, 1, 1, 12/05/2026. 18:27:31, 0.000, 0.000, 0.000, 0.000, , , , , , , , 0.000
90, , , thiago.ferreira@enaex.com, thiago.ferreira@enaex.com, 748844.770, 748844.770, 8930543.320, 8930543.320, 10.480, 10.500, 3.500, 4.400, 102, 102, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 59.887, 60.000, 59.887, 60.000, 0.000, 0.000, 1.000, 0.000, Emulsão 1.05 = 60.0, 0, 0.000, 0.000, 0, 1, 13/05/2026. 09:31:47, 0.000, 0.000, 0.000, 0.000, , , , , , , , 0.000
91, , , thiago.ferreira@enaex.com, thiago.ferreira@enaex.com, 748843.260, 748843.260, 8930545.310, 8930545.310, 10.480, 10.500, 3.500, 4.500, 102, 102, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 59.887, 49.000, 59.887, 49.000, 0.000, 0.000, 1.000, 0.000, Emulsão 1.05 = 49.0, 0, 0.000, 0.000, 0, 1, 13/05/2026. 09:31:57, 0.000, 0.000, 0.000, 0.000, , , , , , , , 0.000
92, , , thiago.ferreira@enaex.com, thiago.ferreira@enaex.com, 748841.760, 748841.760, 8930547.310, 8930547.310, 10.480, 9.500, 3.500, 4.400, 102, 102, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 59.887, 55.000, 59.887, 55.000, 0.000, 0.000, 1.000, 0.000, Emulsão 1.05 = 55.0, 0, 0.000, 0.000, 0, 1, 13/05/2026. 09:32:14, 0.000, 0.000, 0.000, 0.000, , , , , , , , 0.000
93, , , thiago.ferreira@enaex.com, thiago.ferreira@enaex.com, 748840.250, 748840.250, 8930549.310, 8930549.310, 10.480, 9.000, 3.500, 4.500, 102, 102, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 59.887, 59.000, 59.887, 59.000, 0.000, 0.000, 1.000, 0.000, Emulsão 1.05 = 59.0, 0, 0.000, 0.000, 0, 1, 13/05/2026. 09:32:43, 0.000, 0.000, 0.000, 0.000, , , , , , , , 0.000
94, , , thiago.ferreira@enaex.com, thiago.ferreira@enaex.com, 748838.750, 748838.750, 8930551.300, 8930551.300, 10.480, 9.000, 3.500, 4.600, 102, 102, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 59.887, 26.000, 59.887, 26.000, 0.000, 0.000, 1.000, 0.000, Emulsão 1.05 = 26.0, 0, 0.000, 0.000, 0, 1, 13/05/2026. 09:32:58, 0.000, 0.000, 0.000, 0.000, , , , , , , , 0.000
95, , , thiago.ferreira@enaex.com, thiago.ferreira@enaex.com, 748837.270, 748837.270, 8930553.320, 8930553.320, 10.480, 10.000, 3.500, 4.500, 102, 102, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 59.887, 46.000, 59.887, 46.000, 0.000, 0.000, 1.000, 0.000, Emulsão 1.05 = 46.0, 0, 0.000, 0.000, 0, 1, 13/05/2026. 09:33:22, 0.000, 0.000, 0.000, 0.000, , , , , , , , 0.000
96, , , thiago.ferreira@enaex.com, thiago.ferreira@enaex.com, 748835.910, 748835.910, 8930555.420, 8930555.420, 11.100, 8.000, 3.500, 4.500, 102, 102, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 65.207, 23.000, 65.207, 23.000, 0.000, 0.000, 1.000, 0.000, Emulsão 1.05 = 23.0, 0, 0.000, 0.000, 0, 1, 13/05/2026. 09:33:50, 0.000, 0.000, 0.000, 0.000, , , , , , , , 0.000
97, , , thiago.ferreira@enaex.com, thiago.ferreira@enaex.com, 748834.560, 748834.560, 8930557.520, 8930557.520, 11.210, 11.210, 3.500, 3.500, 102, 102, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 66.151, 66.151, 66.151, 66.151, 0.000, 0.000, 1.000, 0.000, Emulsão 1.05 = 66.2, 0, 0.000, 0.000, 1, 1, 12/05/2026. 18:18:23, 0.000, 0.000, 0.000, 0.000, , , , , , , , 0.000
98, , , thiago.ferreira@enaex.com, thiago.ferreira@enaex.com, 748833.210, 748833.210, 8930559.620, 8930559.620, 11.270, 11.000, 3.500, 4.500, 102, 102, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 66.665, 81.000, 66.665, 81.000, 0.000, 0.000, 1.000, 0.000, Emulsão 1.05 = 81.0, 0, 0.000, 0.000, 0, 1, 13/05/2026. 09:34:44, 0.000, 0.000, 0.000, 0.000, , , , , , , , 0.000
